respondent,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,comment_good,comment_improve,comment_other
11,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,,,
12,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,,,
13,ややそう思う,どちらともいえない,ややそう思う,あまりそう思わない,どちらともいえない,ややそう思う,ややそう思う,ややそう思う,ややそう思う,どちらともいえない,ややそう思う,どちらともいえない,ややそう思う,ややそう思う,どちらともいえない,ややそう思う,ややそう思う,どちらともいえない,どちらともいえない,,,
14,非常にそう思う,ややそう思う,非常にそう思う,非常にそう思う,ややそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,,,
15,ややそう思う,ややそう思う,ややそう思う,どちらともいえない,ややそう思う,ややそう思う,ややそう思う,ややそう思う,あまりそう思わない,あまりそう思わない,ややそう思う,どちらともいえない,ややそう思う,どちらともいえない,どちらともいえない,ややそう思う,ややそう思う,ややそう思う,ややそう思う,,,
16,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,イラストや設問を通して学べるので初心者のような自分でも取り組みやすい点が良かったです。,特になし,
17,ややそう思う,ややそう思う,ややそう思う,どちらともいえない,ややそう思う,どちらともいえない,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,どちらともいえない,どちらともいえない,どちらともいえない,ややそう思う,どちらともいえない,あまりそう思わない,ややそう思う,,,
18,どちらともいえない,どちらともいえない,ややそう思う,全くそう思わない,あまりそう思わない,あまりそう思わない,ややそう思う,あまりそう思わない,あまりそう思わない,あまりそう思わない,ややそう思う,ややそう思う,どちらともいえない,どちらともいえない,ややそう思う,全くそう思わない,あまりそう思わない,あまりそう思わない,非常にそう思う,,,
19,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,ややそう思う,どちらともいえない,どちらともいえない,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,どちらともいえない,どちらともいえない,ややそう思う,ややそう思う,ややそう思う,ややそう思う,,,
20,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,,,
21,非常にそう思う,ややそう思う,ややそう思う,,ややそう思う,ややそう思う,非常にそう思う,非常にそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,非常にそう思う,ややそう思う,どちらともいえない,ややそう思う,ややそう思う,どちらともいえない,どちらともいえない,,,
22,ややそう思う,非常にそう思う,非常にそう思う,どちらともいえない,どちらともいえない,どちらともいえない,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,非常にそう思う,ややそう思う,ややそう思う,非常にそう思う,ややそう思う,どちらともいえない,あまりそう思わない,どちらともいえない,,,
23,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,,,
24,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,どちらともいえない,,,
25,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,,,
26,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,,,
27,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,実際に手を動かしながら学べるので理解しやすく、グラフや画像で結果が見えるのが良かった。直感的にAIの仕組みを掴めた。,一部の説明が少し分かりにくく、初学者にはもう少し解説があっても良いと感じた。,ゲーム感覚で学べて楽しかったが、もう少し自由に試せる機能があるとさらに理解が深まると思った。
28,ややそう思う,ややそう思う,どちらともいえない,あまりそう思わない,非常にそう思う,ややそう思う,ややそう思う,どちらともいえない,どちらともいえない,どちらともいえない,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,,,
29,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,ややそう思う,非常にそう思う,ややそう思う,ややそう思う,ややそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,非常にそう思う,分かりやすく、専門的な内容でも初心者でも理解しやすい構成になっていました。,少し詳しい解説や具体例があると、さらに理解しやすくなると思います。,全体的にとても使いやすく、学習意欲を高めてくれる良いWebサイトだと思いました。
30,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,,,
31,ややそう思う,あまりそう思わない,ややそう思う,全くそう思わない,ややそう思う,ややそう思う,ややそう思う,あまりそう思わない,ややそう思う,ややそう思う,非常にそう思う,どちらともいえない,どちらともいえない,ややそう思う,あまりそう思わない,ややそう思う,非常にそう思う,ややそう思う,非常にそう思う,,,
32,ややそう思う,ややそう思う,ややそう思う,,ややそう思う,ややそう思う,ややそう思う,,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,,,
33,ややそう思う,ややそう思う,どちらともいえない,あまりそう思わない,どちらともいえない,ややそう思う,どちらともいえない,ややそう思う,ややそう思う,どちらともいえない,ややそう思う,ややそう思う,どちらともいえない,どちらともいえない,どちらともいえない,ややそう思う,ややそう思う,ややそう思う,ややそう思う,,,
